geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER,shift_px,ncc_before,ncc_after,ncc_verified
POINT (86.49888671478286 38.87418274469135),1080,2240,320,86.49888671478286,38.87418274469135,False,False,64.0,64.0,0.07049472630023956,0.31238260865211487,0.000701904296875,-0.003124237060546875,0.0032021128572523594,347.283203125,0.10746327239438945,0.11063405642735454,True,0.0,-9999,[],False,False,False,False,0.32023803744159757,-0.07170472294092178,-0.07170472294092178,True
POINT (87.77888671478286 38.87418274469135),1084,2368,320,87.77888671478286,38.87418274469135,False,False,64.0,64.0,-0.16286364197731018,-0.227976456284523,-0.001628636419766849,0.0022797645628429564,0.0028017464285308756,144.4584422132012,0.1343474391114886,0.1371235371785778,True,18.42037550633816,-9999,[],False,False,False,False,0.280174642853636,-0.1608992964029312,-0.1608992964029312,True
POINT (88.73888671478285 38.87418274469135),1087,2464,320,88.73888671478285,38.87418274469135,False,False,64.0,64.0,0.1922253668308258,-7.571510225534439,0.0019222536683116687,0.07571510225534439,0.07573949939564292,181.4543118253629,0.18962996297142948,0.20625814997396855,True,32.84007042283733,-9999,[],False,False,False,False,7.573949939564284,0.1418209671974182,0.45699602365493774,True
POINT (89.37888671478285 38.87418274469135),1089,2528,320,89.37888671478285,38.87418274469135,False,False,100.0,100.0,0.21381258964538574,17.2937473654747,0.0021381258964510153,-0.17293747365474843,0.1729506905925382,359.2916552674829,0.14514588067227588,0.1557506354874806,True,0.0,-9999,[],False,False,False,False,17.29506905925368,-0.08620712906122208,0.02828759327530861,True
POINT (89.69888671478286 38.87418274469135),1090,2560,320,89.69888671478286,38.87418274469135,False,False,100.0,100.0,-0.08755413442850113,15.462626785039902,-0.0008755413442855797,-0.15462626785039646,0.15462874662231504,0.32442280604052753,0.15093045270456631,0.16035599853566113,True,0.0,-9999,[],False,False,False,False,15.462874662231759,0.04248541221022606,0.21245001256465912,True
POINT (77.85888671478286 38.55418274469135),1154,1376,352,77.85888671478286,38.55418274469135,False,False,64.0,64.0,0.4294230341911316,-0.3914836645126343,0.004294230341912453,0.003914836645122932,0.005810882909455233,227.646122943533,0.23394474798014447,0.24301809959147982,True,0.0,-9999,[],False,False,False,False,0.581088290945669,0.6085724830627441,0.6085724830627441,True
POINT (81.05888671478286 38.55418274469135),1164,1696,352,81.05888671478286,38.55418274469135,False,False,64.0,64.0,0.3991367518901825,0.1360481083393097,0.00399017333984375,-0.001361846923828125,0.004216172266751528,288.8219909667969,0.1099720105293768,0.11578679448256393,True,0.0,-9999,[],False,False,False,False,0.4216861801057152,-0.023152919486165047,-0.023152919486165047,True
POINT (89.05888671478286 38.55418274469135),1189,2496,352,89.05888671478286,38.55418274469135,False,False,64.0,64.0,0.17052708566188812,-0.25525417923927307,0.001708984375,0.002552032470703125,0.0030713998712599277,213.74560546875,0.11659965665125675,0.12244978760755405,True,0.0,-9999,[],False,False,False,False,0.3069758670701198,0.025962861254811287,0.025962861254811287,True
POINT (89.37888671478285 38.55418274469135),1190,2528,352,89.37888671478285,38.55418274469135,False,False,64.0,64.0,0.18967048823833466,-0.4250299632549286,0.00189971923828125,0.00424957275390625,0.004654868505895138,204.04891967773438,0.0804720613099508,0.08385643154852918,True,29.597040050725383,-9999,[],False,False,False,False,0.4654302995863658,-0.16868755221366882,-0.16868755221366882,True
POINT (90.33888671478286 38.55418274469135),1193,2624,352,90.33888671478286,38.55418274469135,False,False,100.0,100.0,-0.13993015885353088,0.3228819966316223,-0.0013993015885347404,-0.003228819966317076,0.0035189946448614625,23.43087800823876,0.20713045674754302,0.2101406635015239,True,15.705872462184061,-9999,[],False,False,False,False,0.3518994644860906,0.04842015728354454,0.04842015728354454,True
