geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,OUTLIER
POINT (76.50084608496334 41.12287622373191),342,1248,96,76.50084608496334,41.12287622373191,False,False,100.0,100.0,0.03527378663421379,5.230553969741909,0.0003527378663363834,-0.052305539697407255,0.05230672907991278,359.61361483391954,-9999.0,-9999.0,False,8.42135416679318,-9999,[],True,True
POINT (76.81889905083607 41.12287622373191),343,1280,96,76.81889905083607,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (77.13695201670879 41.12287622373191),344,1312,96,77.13695201670879,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (77.45500498258151 41.12287622373191),345,1344,96,77.45500498258151,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (77.77305794845424 41.12287622373191),346,1376,96,77.77305794845424,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (78.09111091432696 41.12287622373191),347,1408,96,78.09111091432696,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (78.40916388019969 41.12287622373191),348,1440,96,78.40916388019969,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (78.7272168460724 41.12287622373191),349,1472,96,78.7272168460724,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (79.04526981194512 41.12287622373191),350,1504,96,79.04526981194512,41.12287622373191,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.36615752861798 40.804823257859184),430,832,128,72.36615752861798,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.68421049449069 40.804823257859184),431,864,128,72.68421049449069,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.00226346036341 40.804823257859184),432,896,128,73.00226346036341,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,The matching window became too small for calculating a reliable match. Matching failed.,[],-9999,-9999
POINT (73.32031642623613 40.804823257859184),433,928,128,73.32031642623613,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.63836939210886 40.804823257859184),434,960,128,73.63836939210886,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
